7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.0-2
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-sans-fonts 3.052-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alacritty 0.15.1-1
alacritty-themes 6.0.2-1
alsa-card-profiles 1:1.4.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20250311.b69d4b74-3
ani-cli 4.9-1
aom 3.12.0-1
apache 2.4.63-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
appstream-qt 1.0.4-1
apr 1.7.5-3
apr-util 1.6.3-2
arandr 0.1.11-4
arc-gtk-theme-eos 20221218-2
archlinux-appstream-data 20250317-1
archlinux-keyring 20250123-1
argon2 20190702-6
aria2 1.37.0-1
aribb24 1.0.3-4
ark 24.12.3-1
asciidoc 10.2.1-2
asciiquarium 1.1-7
aspell 0.60.8.1-2
at-spi2-core 2.56.0-1
atkmm 2.28.4-1
attica 6.12.0-1
attica5 5.116.0-1
attr 2.5.2-1
audiocd-kio 24.12.3-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
b43-fwcutter 019-6
baloo 6.12.0-1
baloo-widgets 24.12.3-1
bamf 0.5.6-1
baobab 47.0-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bat 0.25.0-4
bc 1.08.1-1
bcg729 1.1.1-2
bind 9.20.7-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bleachbit 4.6.2-3
blueman 2.4.4-1
bluez 5.80-1
bluez-libs 5.80-1
bluez-qt 6.12.0-1
bluez-tools 0.2.0-6
bluez-utils 5.80-1
bolt 0.9.8-1
boost 1.87.0-3
boost-libs 1.87.0-3
box2d 3.0.0-1
breeze-grub 6.3.3-1
breeze-icons 6.12.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brltty 6.7-5
brotli 1.1.0-3
btop 1.4.0-5
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.5-1
cargo-audit 0.21.2-1
cargo-c 0.10.11-1
caribou 0.4.21+75+g8ad9883-7
cbindgen 0.28.0-1
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.0-4
chafa 1.14.5-1
chromaprint 1.5.1-10
cifs-utils 7.3-1
cinnamon 6.4.8-1
cinnamon-control-center 6.4.1-1
cinnamon-desktop 6.4.1-1
cinnamon-menus 6.4.0-1
cinnamon-screensaver 6.4.0-1
cinnamon-session 6.4.0-1
cinnamon-settings-daemon 6.4.3-1
cinnamon-translations 6.4.2-1
cjs 6.4.0-1
ckbcomp 1.228-1
clang 19.1.7-1
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-15
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 3.31.6-1
cmatrix 2.0-3
cogl 1.22.8-3
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
compiler-rt 19.1.7-1
composefs 1.0.7-1
confuse 3.3-4
containerd 2.0.4-1
convertlit 1.8-12
coreutils 9.6-4
cowsay 3.8.4-1
cpio 2.15-2
cppdap 1.58.0-2
cpupower 6.13-1
cracklib 2.10.3-1
cronie 1.7.2-1
cryptsetup 2.7.5-2
cups 2:2.4.11-2
cups-filters 2.0.1-2
cups-pdf 3.0.1-8
cups-pk-helper 0.2.7-2
curl 8.12.1-1
cxxbridge 1.0.142-1
cyrus-sasl-gssapi 2.1.28-4
datagrip 2024.3.5-1
datagrip-jre 2024.3.5-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
